asset_id;event_id;event_label;event_start;event_start_id;event_end;event_end_id;event_description
14;34;anomaly;2023-08-24 00:00:00;52531;2023-09-15 00:00:00;55699;high temperature in transformer cell
13;7;anomaly;2023-07-01 00:00:00;52703;2023-08-01 00:00:00;57167;high temperature in transformer cell
6;53;anomaly;2023-12-26 16:40:00;52559;2024-02-06 16:30:00;58606;Rotor Bearing 2 - Damage
7;27;anomaly;2023-09-01 00:00:00;52619;2023-11-01 00:00:00;61403;Turbine is stopped due to a main bearing damage
11;19;anomaly;2023-02-03 00:00:00;52673;2023-02-23 00:00:00;55553;high temperature in transformer cell
12;77;anomaly;2023-06-01 00:00:00;52991;2023-07-31 00:00:00;61631;Turbine is in standstill since 01.08 due to rotorbearing damage.
2;83;normal;2023-07-01 00:00:00;52329;2023-09-30 00:00:00;65433;
14;52;normal;2023-07-14 00:00:00;52675;2023-07-28 00:00:00;54691;
0;21;normal;2023-09-22 20:10:00;52217;2023-10-01 20:10:00;53513;
13;2;normal;2023-08-09 19:20:00;52703;2023-08-23 04:20:00;54629;
6;23;normal;2023-09-17 17:30:00;52559;2023-09-27 11:50:00;53965;
7;87;normal;2023-09-14 23:00:00;52475;2023-09-30 23:00:00;54779;
11;74;normal;2023-01-03 23:00:00;52817;2023-01-17 07:00:00;54737;
12;86;normal;2023-04-28 17:30:00;52703;2023-05-12 01:10:00;54621;
5;82;normal;2023-09-26 23:00:00;52975;2023-10-08 23:00:00;54703;
