,sensor_name,statistics_type,description,unit,is_angle,is_counter
0,sensor_0,"maximum,minimum,std_dev,average","ABB-LS Input K1, IL1",A,False,False
1,sensor_1,"maximum,minimum,std_dev,average",Generator acceleration,rpm/s,False,False
2,power_2,"average,maximum,std_dev,minimum",ABB-LS Active Power,kW,False,False
3,sensor_3,"average,maximum,minimum,std_dev",Active power aeration motor A,%,False,False
4,sensor_4,"average,maximum,minimum,std_dev",Active power aeration motor B,%,False,False
5,power_5,"average,maximum,minimum,std_dev",Active power grid side converter,kW,False,False
6,power_6,"average,maximum,minimum,std_dev",Active power HV grid,kW,False,False
7,sensor_7,"average,maximum,minimum,std_dev",Ambient temperature,Celsius,False,False
8,sensor_8,"average,maximum,minimum,std_dev",Generator angle speed,rad/s,False,False
9,sensor_9,"average,maximum,minimum,std_dev",Battery charge 1,A,False,False
10,sensor_10,"average,maximum,minimum,std_dev",Battery charge 2,A,False,False
11,sensor_11,"average,maximum,minimum,std_dev",Battery charge 3,A,False,False
12,sensor_12,"average,maximum,minimum,std_dev",Battery discharge current axis 1,A,False,False
13,sensor_13,"average,maximum,minimum,std_dev",Battery discharge current axis 2,A,False,False
14,sensor_14,"average,minimum,std_dev,maximum",Battery discharge current axis 3,A,False,False
15,sensor_15,"average,maximum,minimum,std_dev",Board temperature,Celsius,False,False
16,sensor_16,"average,maximum,minimum,std_dev",Compensation angle I/U converter,deg,True,False
17,power_17,"average,minimum,std_dev,maximum",Active power converter,kW,False,False
18,sensor_18,"average,maximum,minimum,std_dev",Generator cooling air temperature A,Celsius,False,False
19,sensor_19,"average,maximum,minimum,std_dev",Generator cooling air temperature B,Celsius,False,False
20,sensor_20,"average,maximum,minimum,std_dev",Generator cooling air temperature C,Celsius,False,False
21,sensor_21,"average,maximum,std_dev,minimum",Generator cooling air temperature D,Celsius,False,False
22,sensor_22,"average,maximum,minimum,std_dev",Current hydraulic tank heating,A,False,False
23,sensor_23,"average,maximum,minimum,std_dev",Current water cooler pump 1,A,False,False
24,sensor_24,"average,maximum,minimum,std_dev",Current water cooler pump 2,A,False,False
25,sensor_25,"average,maximum,minimum,std_dev",Current drain 24V nacelle,A,False,False
26,sensor_26,"std_dev,minimum,average,maximum",Current drain pitch L1,A,False,False
27,sensor_27,"average,std_dev,maximum,minimum",Current yaw motor A,A,False,False
28,sensor_28,"average,maximum,minimum,std_dev",Current yaw motor B,A,False,False
29,sensor_29,"average,maximum,minimum,std_dev",Current yaw motor C,A,False,False
30,sensor_30,"average,maximum,std_dev,minimum",Current yaw motor D,A,False,False
31,sensor_31,"average,maximum,minimum,std_dev",Current yaw motor E,A,False,False
32,sensor_32,"average,maximum,minimum,std_dev",Current yaw motor F,A,False,False
33,sensor_33,"average,maximum,minimum,std_dev",Current yaw motor G,A,False,False
34,sensor_34,"average,minimum,std_dev,maximum",Current yaw motor H,A,False,False
35,sensor_35,"maximum,std_dev,average,minimum",DC link voltage converter,V,False,False
36,sensor_36,"average,minimum,std_dev,maximum",Direct current link volt axis 1,V,False,False
37,sensor_37,"average,minimum,std_dev,maximum",Direct current link volt axis 2,V,False,False
38,sensor_38,"average,maximum,minimum,std_dev",Direct current link volt axis 3,V,False,False
39,sensor_39,"average,maximum,minimum,std_dev",Electrical cabinet ambient temperature,Celsius,False,False
40,sensor_40,"average,maximum,minimum,std_dev",Nacelle external air pressure,hPa,False,False
41,sensor_41,"average,maximum,minimum,std_dev",Nacelle outside temperature,Celsius,False,False
42,sensor_42,"average,maximum,minimum,std_dev",Rotor bearing flow rate,L/min,False,False
43,sensor_43,"average,maximum,minimum,std_dev",Flow meter stator cooler,l/h,False,False
44,sensor_44,"average,maximum,minimum,std_dev",Fluid level oil container A1,%,False,False
45,sensor_45,"maximum,minimum,std_dev,average",Fluid level oil container A2,%,False,False
