event,mean,min,count
0,-0.5100633198539705,-0.6835790127679425,144
10,-0.4250803902223987,-0.5978828937457864,144
22,-0.517054087966158,-0.6414799107009825,144
26,-0.4308305447021028,-0.532549202112607,144
40,-0.40169776459730894,-0.44602428979279174,144
42,-0.4233231756299375,-0.5052013253058109,144
45,-0.4043417994451434,-0.6480627265514766,144
51,-0.4323394918921707,-0.500654589545081,144
68,-0.4816925088238202,-0.6894158734707193,144
72,-0.4323394918921707,-0.500654589545081,144
73,-0.446723302332306,-0.6004953661985316,144
84,-0.4427047685980692,-0.6296431161076615,144
